state_name,avg_home_value
Hawaii,728940.24
California,670742.19
District of Columbia,631433.15
Washington,523856.79
Massachusetts,518147.54
Colorado,495760.29
Utah,461123.68
Oregon,452137.29
Idaho,406541.4
New Jersey,405956.13
New York,385918.37
Nevada,379098.37
New Hampshire,377895.87
Rhode Island,372288.42
Montana,368895.69
Arizona,364347.1
Maryland,358773.61
Virginia,327838.65
Alaska,324879.95
Delaware,323727.36
Connecticut,321787.36
Florida,317465.84
Maine,310572.78
Minnesota,294595.91
Wyoming,288883.98
Vermont,286131.42
North Carolina,266737.23
Georgia,264023.74
Texas,260290.62
Tennessee,252196.02
South Dakota,247034.4
New Mexico,244656.7
Wisconsin,241842.38
South Carolina,235763.31
North Dakota,226507.19
Pennsylvania,223302.78
Nebraska,218545.44
Illinois,217803.48
Missouri,200718.89
Michigan,200575.64
Indiana,198222.27
Ohio,185957.53
Alabama,182404.44
Kansas,180152.36
Louisiana,179457.78
Iowa,179412.56
Kentucky,170518.78
Oklahoma,165409.05
Arkansas,159298.05
Mississippi,149822.19
West Virginia,136185.43
