state_name,last_2q_growth_pct
Kentucky,1.76
Oklahoma,1.69
Vermont,1.66
Kansas,1.59
Alabama,1.55
Arkansas,1.54
Wyoming,1.16
Wisconsin,1.06
Iowa,0.83
Nebraska,0.81
Ohio,0.69
North Dakota,0.61
Connecticut,0.6
Pennsylvania,0.59
South Carolina,0.57
New Jersey,0.57
South Dakota,0.27
Missouri,0.16
Indiana,0.08
West Virginia,0.0
New Hampshire,0.0
Delaware,-0.07
Mississippi,-0.11
New Mexico,-0.14
Virginia,-0.15
Illinois,-0.15
Michigan,-0.31
Rhode Island,-0.36
Maryland,-0.48
North Carolina,-0.51
Tennessee,-0.57
Maine,-0.66
Alaska,-0.84
New York,-0.98
Florida,-0.99
Georgia,-1.02
Minnesota,-1.57
Louisiana,-1.58
Massachusetts,-1.69
Texas,-1.76
Montana,-2.6
Hawaii,-2.66
Oregon,-3.87
Colorado,-3.87
District of Columbia,-4.09
California,-4.47
Washington,-4.62
Utah,-5.08
Nevada,-6.48
Arizona,-6.55
Idaho,-7.38
